asset_id,clip_path,source_type,source_site_id,source_recording_id,start_s,end_s,duration_s,recording_group_id,near_duplicate_group_id,selection_rank_in_group,sample_rate,channels,primary_weather,has_rain,has_wind,has_thunder,rain_intensity,wind_intensity,thunder_intensity,mixed_weather,layer_d_role,layer_d_use,analysis_use,analysis_label_quality,human_audit_status,human_weather_label,human_notes,clap_rain_score,clap_wind_score,clap_thunder_score,clap_top_label,contamination_label,contamination_score,env_bucket,env_rain_mm,env_daily_rain_mm,env_wind_speed_ms,env_wind_max_ms,audio_rms_dbfs,audio_peak_dbfs,audio_clipping_ratio,quality_flags,run_id,provenance_json
lib_wind_001,acoustic_ai/data/weather/wind/wind_forest_trees.wav,sound_library,,freesound,,,,sound_library:freesound,lib_wind_001,1,,,wind,false,true,false,none,medium,none,false,wind_primary,primary,train,high,library_seed,wind,curated_mvp seed asset,,,,,,,,,,,,,,,library_seed,library_mvp_seed,{}
lib_wind_002,acoustic_ai/data/weather/wind/wind_trees_rustling.wav,sound_library,,freesound,,,,sound_library:freesound,lib_wind_002,1,,,wind,false,true,false,none,light,none,false,wind_primary,primary,train,high,library_seed,wind,curated_mvp seed asset,,,,,,,,,,,,,,,library_seed,library_mvp_seed,{}
lib_wind_003,acoustic_ai/data/weather/wind/windy_forest.wav,sound_library,,freesound,,,,sound_library:freesound,lib_wind_003,1,,,wind,false,true,false,none,heavy,none,false,wind_primary,primary,train,high,library_seed,wind,curated_mvp seed asset,,,,,,,,,,,,,,,library_seed,library_mvp_seed,{}
lib_wind_004,acoustic_ai/data/weather/wind/wind_trees_rustling_2.wav,sound_library,,freesound_523389,,,,sound_library:freesound_523389,lib_wind_004,1,,,wind,false,true,false,none,light,none,false,wind_primary,primary,train,high,library_seed,wind,expanded_dataset seed asset,,,,,,,,,,,,,,,library_seed,library_expanded_seed,{}
lib_wind_005,acoustic_ai/data/weather/wind/ambient_soft_wind.wav,sound_library,,freesound_161812,,,,sound_library:freesound_161812,lib_wind_005,1,,,wind,false,true,false,none,light,none,false,wind_primary,primary,train,high,library_seed,wind,expanded_dataset seed asset,,,,,,,,,,,,,,,library_seed,library_expanded_seed,{}
lib_rain_001,acoustic_ai/data/weather/rain/light_forest_rain.wav,sound_library,,freesound,,,,sound_library:freesound,lib_rain_001,1,,,rain,true,false,false,light,none,none,false,rain_primary,primary,train,high,library_seed,rain,curated_mvp seed asset,,,,,,,,,,,,,,,library_seed,library_mvp_seed,{}
lib_rain_002,acoustic_ai/data/weather/rain/rainforest_rain.wav,sound_library,,freesound,,,,sound_library:freesound,lib_rain_002,1,,,rain,true,false,false,medium,none,none,false,rain_primary,primary,train,high,library_seed,rain,curated_mvp seed asset,,,,,,,,,,,,,,,library_seed,library_mvp_seed,{}
lib_rain_003,acoustic_ai/data/weather/rain/rain_on_leaf.wav,sound_library,,freesound,,,,sound_library:freesound,lib_rain_003,1,,,rain,true,false,false,light,none,none,false,rain_primary,primary,train,high,library_seed,rain,curated_mvp seed asset,,,,,,,,,,,,,,,library_seed,library_mvp_seed,{}
lib_rain_004,acoustic_ai/data/weather/rain/forest_drizzle_light.wav,sound_library,,freesound_262029,,,,sound_library:freesound_262029,lib_rain_004,1,,,rain,true,false,false,light,none,none,false,rain_primary,primary,train,high,library_seed,rain,expanded_dataset seed asset,,,,,,,,,,,,,,,library_seed,library_expanded_seed,{}
lib_rain_005,acoustic_ai/data/weather/rain/forest_rain_canopy.wav,sound_library,,freesound_719062,,,,sound_library:freesound_719062,lib_rain_005,1,,,rain,true,false,false,medium,none,none,false,rain_primary,primary,train,high,library_seed,rain,expanded_dataset seed asset,,,,,,,,,,,,,,,library_seed,library_expanded_seed,{}
lib_rain_006,acoustic_ai/data/weather/rain/heavy_rain_dense.wav,sound_library,,freesound_200272,,,,sound_library:freesound_200272,lib_rain_006,1,,,rain,true,false,false,heavy,none,none,false,rain_primary,primary,train,high,library_seed,rain,expanded_dataset seed asset,,,,,,,,,,,,,,,library_seed,library_expanded_seed,{}
lib_thunder_001,acoustic_ai/data/weather/thunder/thunderstorm_ambience.wav,sound_library,,freesound,,,,sound_library:freesound,lib_thunder_001,1,,,storm,true,true,true,medium,medium,heavy,true,storm_bed,primary,calibration,high,library_seed,storm,curated_mvp seed asset,,,,,,,,,,,,,,,library_seed,library_mvp_seed,{}
lib_thunder_002,acoustic_ai/data/weather/thunder/rain_thunder.wav,sound_library,,freesound,,,,sound_library:freesound,lib_thunder_002,1,,,storm,true,false,true,medium,none,medium,true,storm_thunder_hit,primary,calibration,high,library_seed,storm,curated_mvp seed asset,,,,,,,,,,,,,,,library_seed,library_mvp_seed,{}
lib_thunder_003,acoustic_ai/data/weather/thunder/distant_thunder_rolling.wav,sound_library,,freesound_151201,,,,sound_library:freesound_151201,lib_thunder_003,1,,,thunder,false,false,true,none,none,medium,false,thunder_primary,primary,train,high,library_seed,thunder,expanded_dataset seed asset,,,,,,,,,,,,,,,library_seed,library_expanded_seed,{}
